course_number,course_name,credits,description,term,instructor,class time,availability,prerequisites,career tags,instruction mode
CJUS-P 302,COURTS AND CRIMINAL JUSTICE,3,"Structure, organization, composition, functions, and procedures of courts in the United States. Role of lawyers and judges in the criminal justice process.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,TR 2:30PM–3:45PM,10,[],"['Law Enforcement', 'Criminal Justice Analyst']",Hybrid
CJUS-P 304,PROBATION AND PAROLE,3,"Study of probation, parole, and community corrections as subsystems of criminal justice, including the police, courts, and prisons. Theoretical and historical developments will be considered along with current management and research issues.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,TR 2:30PM–3:45PM,9,[],['Public Sector Professional'],Hybrid
CJUS-P 306,"DRUGS, SOCIETY, AND JUSTICE",3,"Analysis of the political, economic, social and cultural factors that shape the use of consciousness-altering substances. Consideration of the way these factors influence the social and legal response to drug use.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Garcia,MW 1:00PM–2:15PM,6,[],"['Law Enforcement', 'Criminal Justice Analyst']",In Person
CJUS-P 307,POLICING DEMOCRACIES,3,"Policing an open society is a challenge that demands protecting as well as safeguarding individual liberty. Examines the issues of democratic policing by focusing on the US, India, and other democracies where plural, diverse and multi-religious populations present an extraordinary challenge of governance by democratic means.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,MWF 10:00AM–11:15AM,6,[],['Public Sector Professional'],In Person
CJUS-P 311,PRIVATE SECURITY,3,"Examines individuals, not-for-profit agencies, and corporations that supplement the efforts of the traditional criminal justice system. Private components of each major segment of the criminal justice system are explored. The course specifically highlights private policing, alternative dispute resolution, private prisons, and private juvenile centers.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Davis,MW 1:00PM–2:15PM,8,[],['Public Sector Professional'],Hybrid
CJUS-P 314,LAW AND SOCIAL SCIENCE,3,"Structure and operation of law, legal systems, and legal processes across both civil and criminal justice; the potential role of social science in aiding in understanding that law's creation and implementation, and the potential need for change.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,TR 2:30PM–3:45PM,0,[],"['Social Worker', 'Community Advocate']",Online
CJUS-P 316,CRIME IN THE MOVIES,3,"This course is designed to examine the way that crime and criminals have been portrayed throughout the last 80 years in popular movies. Crime has always been a favorite source of material for Hollywood, and we will be exploring the way that the depiction of criminal activity reflects the social mores of a particular era. Thus, this course draws from a variety of disciplines as we critique the films and analyze the messages they convey about crime and criminals in society.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Garcia,TR 2:30PM–3:45PM,1,[],"['Criminologist', 'Policy Analyst']",In Person
CJUS-P 317,FAMOUS CRIMES AND TRIALS,3,"Examines case studies of famous crimes and trials, emphasizing evidence, prosecution and defense strategies, legal significance, historical and political context, social implications, criminology, and media coverage. Importance of forensic evidence, trial tactics, legal maneuvers, politics, race, gender, religion, and celebrity illustrated with court testimony, newspaper articles, videos, and audio recordings.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,MW 1:00PM–2:15PM,10,[],"['Criminologist', 'Policy Analyst']",Online
CJUS-P 320,FOUNDATIONS OF CRIMINAL INVESTIGATIONS,3,"The pertinence to criminal investigation of physical evidence, people, and documents. Discussion of ethical problems, impact of legal systems on investigative process, and elements of effective testimony. Lectures and case materials.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Williams,TR 2:30PM–3:45PM,8,[],['Public Sector Professional'],Online
CJUS-P 321,CYBERCRIME,3,"This course explores how an interconnected world has modified how existing criminal activity is conducted and how new criminal opportunities have been created. Students will examine the history and complex nature of computer related crime and how societies have attempted to respond. Students will learn about the different types of cybercriminals, including motives and methods of attack. Various legal and regulatory issues in cyberspace, including surveillance, sting operations, and current and proposed legislation, will also be evaluated.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,TR 2:30PM–3:45PM,8,[],"['Criminologist', 'Policy Analyst']",Hybrid
CJUS-P 330,CRIMINAL JUSTICE ETHICS,3,"Study of major ethical theories with emphasis on their application to components of the criminal justice system. Personal and professional dilemmas and problem-solving will be emphasized.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Williams,MW 1:00PM–2:15PM,5,[],"['Law Enforcement', 'Criminal Justice Analyst']",Hybrid
CJUS-P 332,CRIMINAL PROSECUTION,3,"Examines all aspects of criminal prosecution, including decisions pertaining to the filing of criminal charges, negotiated plea agreements, and attaining of criminal convictions. Discusses how a prosecutor's office interacts with other divisions of the criminal justice system such as the courts, law enforcement and the defense bar.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Davis,TR 2:30PM–3:45PM,1,[],['Public Sector Professional'],Online
CJUS-P 333,"FORENSIC EVIDENCE COLLECTION, ANALYSIS, AND USE IN CRIMINAL PROSECUTIONS",3,"Covers various topics related to criminal forensics evidence. Emphasis on collection, analysis and tactical use of forensic evidence at trial, including admission and use in court and common challenges by criminal defendants. Issues of privacy rights, search and seizure, investigative methods, case preparation, and methods of proof also explored.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,MW 1:00PM–2:15PM,1,[],['Public Sector Professional'],Hybrid
CJUS-P 370,CRIMINAL LAW,3,"Definition of common crimes in the United States and factors involving the application of criminal law as a formal social control mechanism. Behavior-modifying factors that influence criminal liability and problems created when new offenses are defined.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,TR 2:30PM–3:45PM,10,[],['Public Sector Professional'],Online
CJUS-P 371,CRIMINAL PROCEDURE,3,"Fundamental legal problems of criminal justice system processes. Emphasis on pretrial phases of American system procedures.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Garcia,MW 1:00PM–2:15PM,9,[],['Public Sector Professional'],Online
CJUS-P 375,AMERICAN JUVENILE JUSTICE SYSTEM,3,"Structure and operation of the juvenile justice system in the United States, past and present. Analysis of the duties and responsibilities of the police juvenile officer, the juvenile court judge, and the juvenile probation officer.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,MWF 10:00AM–11:15AM,0,[],"['Law Enforcement', 'Criminal Justice Analyst']",Hybrid
CJUS-P 380,DISPUTE MANAGEMENT,3,"This course examines the processes through which individuals and groups publicly manage and settle their conflicts. Concentrating on the processes of negotiation, mediation, and adjudication, we ask in what types of social and cultural situations these processes are used and developed to settle disputes and what processes are most effective in settling particular types of disputes.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,MW 1:00PM–2:15PM,0,[],['Public Sector Professional'],Online
CJUS-P 399,READINGS FOR HONORS,1,"Please visit the school or campus website for more information about this course.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Davis,MW 1:00PM–2:15PM,2,[],['Public Sector Professional'],Hybrid
CJUS-P 401,ENVIRONMENTAL JUSTICE,3,"Interdisciplinary course on comparative justice focusing on critical issues in a range of communities, cultures, and continents. Examines the changing dynamics of law, crime, ecology, and social activism at local, regional, and global levels.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,TR 2:30PM–3:45PM,7,[],"['Law Enforcement', 'Criminal Justice Analyst']",Hybrid
CJUS-P 406,UNEQUAL JUSTICE,3,"Focuses on controversial issues related to the intersection of race and criminal justice practice. Readings and class discussions examine racial disparities in criminal sentencing, racial profiling, high rates of incarceration among African American men and women, and acts of police violence against racial minorities.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Garcia,MW 1:00PM–2:15PM,4,[],"['Law Enforcement', 'Criminal Justice Analyst']",Online
CJUS-P 407,TERRORISM,3,"Terrorism is a serious challenge today and its policing demands varied responses. In this course we study how terrorists evolve and carry out their operations. The course will analyze police responses and debate the issues of legal boundaries and systems of checks and balances using case studies.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,TR 2:30PM–3:45PM,9,[],['Public Sector Professional'],In Person
CJUS-P 408,MASS IMPRISONMENT,3,"From 1970 to 2010, the United States quintupled its prison population. This course investigates the factors (cultural, legal, political, and economic) that led to the incarceration boom and provides students with the empirical and normative tools to evaluate its causes and consequences.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Garcia,TR 2:30PM–3:45PM,5,[],['Public Sector Professional'],Hybrid
CJUS-P 411,CRIMINAL JUSTICE MANAGEMENT,3,"Examination of the ideas and concepts from various disciplines contributing to modern administrative theory, and translation of these insights to the management of criminal justice agencies.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,MW 1:00PM–2:15PM,9,[],"['Law Enforcement', 'Criminal Justice Analyst']",Hybrid
CJUS-P 413,POLICE-COMMUNITY RELATIONS,3,"Examination of the relations between police and urban communities. Consideration of the social, economic, and political factors that shape these relations and alternative approaches to improving police-community relations.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,MW 1:00PM–2:15PM,7,[],['Public Sector Professional'],In Person
CJUS-P 414,ADOLESCENTS AND THE LAW,3,"Examination of the place of adolescents in American law and policy. Consideration of adolescents' rights, limits to these, and their relationship to socio-cultural images of adolescents.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Davis,MWF 10:00AM–11:15AM,0,[],['Public Sector Professional'],Hybrid
CJUS-P 415,CRIME AND MADNESS,3,"The study of the chronic mentally ill and of career criminals. Examination of the groups so labeled, the responses of the criminal justice and mental health systems to them, and their movement back and forth between the streets, prisons, and psychiatric centers.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Davis,MW 1:00PM–2:15PM,8,[],"['Criminologist', 'Policy Analyst']",In Person
CJUS-P 420,VIOLENCE IN THE BLACK COMMUNITY,3,"Analysis of the causes and consequences of interpersonal violence among African-Americans. Analysis of various social factors (e.g. racial discrimination, female-headed families, drug abuse, conceptions of masculinity) contribute to this problem.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Davis,MWF 10:00AM–11:15AM,2,[],['Public Sector Professional'],Online
CJUS-P 421,CRIME PREVENTION: ENVIRONMENTAL TECHNIQUES,3,"Analysis of criminal behavior and victimization from perspective of Environmental Criminology. Examination of situational techniques that may be applied for their prevention.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Davis,MW 1:00PM–2:15PM,3,[],"['Criminologist', 'Policy Analyst']",In Person
CJUS-P 425,WOMEN AND THE CRIMINAL JUSTICE SYSTEM,3,"Examines the extent of participation and the role of women in all aspects of the criminal justice system. Topics include women as offenders, victims, prisoners, parolees, probationers, and as professionals (law enforcement officers, lawyers, judges, and correction and parole officers) in the legal system. Readings are interdisciplinary and include an intersectional approach in recognition that the term ""women"" encompasses individuals from diverse race, ethnic, class, and sexual orientations. Professionals from criminal justice agencies may participate in class discussions.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,MWF 10:00AM–11:15AM,10,[],"['Law Enforcement', 'Criminal Justice Analyst']",Online
CJUS-P 426,JUVENILE DELINQUENCY,3,"Focus on the critical analysis of the impact of significant individual, social, and institutional influences on delinquency including the family, delinquent peer groups, schools, and the community to respond to the question, ""What causes juveniles to break the law?""
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,TR 2:30PM–3:45PM,7,[],['Public Sector Professional'],Online
CJUS-P 432,DEFENDING THE ACCUSED,3,"Defense attorneys are polarizing figures: seen as protecting individuals' rights and the innocent from the power of the state, or viewed as lacking moral scruples while knowingly representing the guilty. This class examines the basis of those conceptions and how they relate to the right to counsel.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Davis,TR 2:30PM–3:45PM,9,[],['Public Sector Professional'],In Person
CJUS-P 433,LAW OF WAR,3,"Provides an understanding of the laws of war and how they are foundational to society. Engages in the study of international humanitarian law, formal justice systems, the U.S. military, and international organizations to highlight the relationship between law, social context, and the morality that underpins restrictions and accountability in war.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,MWF 10:00AM–11:15AM,5,[],['Public Sector Professional'],Hybrid
CJUS-P 439,SEMINAR IN CORRECTIONS,3,"Seminar on selected topics in corrections, correctional theory, or pertinent current issues.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,MWF 10:00AM–11:15AM,2,[],['Public Sector Professional'],In Person
CJUS-P 440,"PRIVACY, LAW AND SECURITY",3,"Exploration of the legal underpinnings of the concept of privacy and their role in ensuring individual and civic security.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Garcia,MW 1:00PM–2:15PM,9,[],['Public Sector Professional'],Online
CJUS-P 444,VICTIMIZATION,3,"The extent and nature of victimization (generally and for specific population subgroups), the effects of crime on victims and the services available to deal with those effects, the experiences of victims in the criminal justice system, the victims' rights movement, and alternative ways of defining and responding to victimization.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,MWF 10:00AM–11:15AM,6,[],['Public Sector Professional'],In Person
CJUS-P 457,SEMINAR ON WHITE-COLLAR CRIME,3,"The nature and incidence of white-collar crime. In addition to studying the etiological theories relating to white-collar crime, the course will also focus on both the criminal and civil (regulatory) processes used to control corporate, organizational, and elite misconduct.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,MW 1:00PM–2:15PM,2,[],"['Criminologist', 'Policy Analyst']",In Person
CJUS-P 458,WRONGFUL CONVICTION,3,"Investigates the factors associated with wrongful convictions and discusses possible remedies for minimizing such miscarriages of justice. The goal of this course is to systematically describe, explain, analyze and evaluate the factors associated with, and the consequences of, the wrongful prosecution, conviction, and incarceration of the innocent in the American criminal justice system. Includes a review of actual allegations of innocence by inmates currently in our prisons, and case-studies of wrongly convicted individuals who have been exonerated.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,TR 2:30PM–3:45PM,7,[],['Public Sector Professional'],Online
CJUS-P 493,SEMINAR IN CRIMINAL JUSTICE,3,"Intensive study and analysis of selected problems in criminal justice. Topics will vary.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,MW 1:00PM–2:15PM,10,[],"['Law Enforcement', 'Criminal Justice Analyst']",In Person
CJUS-P 499,SENIOR HONORS THESIS,3,"Please visit the school or campus website for more information about this course.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Davis,MW 1:00PM–2:15PM,3,[],['Public Sector Professional'],Online
CJUS-P 501,PROSEMINAR: CRIMINAL JUSTICE I,3,"A pro-seminar to provide an intensive introduction to the basic areas of Criminal Justice.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Williams,MWF 10:00AM–11:15AM,9,[],"['Law Enforcement', 'Criminal Justice Analyst']",In Person
CJUS-P 502,PROSEMINAR: CRIMINAL JUSTICE II,3,"Theories of crime and delinquency.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Williams,MW 1:00PM–2:15PM,10,[],"['Law Enforcement', 'Criminal Justice Analyst']",Online
CJUS-P 503,PROSEMINAR IN CRIMINAL JUSTICE,1,"Discussion-based course that covers the (sometimes hidden) goals of graduate school and prepares graduate students for academic and professional success in Criminal Justice.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Garcia,TR 2:30PM–3:45PM,3,[],"['Law Enforcement', 'Criminal Justice Analyst']",In Person
CJUS-P 504,PROSEMINAR: CRIMINAL JUSTICE AS A VOCATION,1,"The course introduces students to a variety of careers in CJUS including academic (with faculty guest speakers), alt-academic, policy and other related career paths.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,MW 1:00PM–2:15PM,2,[],"['Law Enforcement', 'Criminal Justice Analyst']",Online
CJUS-P 505,PROSEMINAR: LAUNCHING A CJUS ACADEMIC CAREER,1,"This course will discuss your professional career as it's related to various unspoken elements of the graduate career that position some students to be better prepared than others. Building on previous seminars, you will take steps to better position yourself to reach your goals.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,MWF 10:00AM–11:15AM,2,[],['Public Sector Professional'],Hybrid
CJUS-P 515,POLICE IN SOCIETY,3,"Covers the bases and impacts of recent changes in U.S. policing, particularly with respect to community-oriented policing. Changes are analyzed in terms of the organizational and political contexts in which they occur as well as from historical and cross-cultural perspectives.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,MWF 10:00AM–11:15AM,1,[],['Public Sector Professional'],Hybrid
CJUS-P 517,JUVENILE JUSTICE,3,"Examines historical development of juvenile justice system, tradition of reform, underlying ideologies and current debates.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,MW 1:00PM–2:15PM,6,[],"['Law Enforcement', 'Criminal Justice Analyst']",Hybrid
CJUS-P 550,TOPICS IN CRIMINAL JUSTICE AND PUBLIC SAFETY,3,"'Variable' Topics in Criminal Justice and Public Safety.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,TR 2:30PM–3:45PM,9,[],"['Law Enforcement', 'Criminal Justice Analyst']",In Person
CJUS-P 594,INTRODUCTION TO RESEARCH METHODS,3,"Research methodology in criminal justice. Research design, scientific methods, quantitative/qualitative applications, ethical questions, and the role of the criminal justice researcher.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,MW 1:00PM–2:15PM,0,[],['Public Sector Professional'],In Person
CJUS-P 595,DATA ANALYSIS IN CRIMINAL JUSTICE I,3,"Data analysis applied to criminal justice data, including measurement, tables, graphs, probability, nonparametric statics, matrix algebra, correlation and regression and tests of significance.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Davis,MWF 10:00AM–11:15AM,0,['CJUS-P 250'],"['Law Enforcement', 'Criminal Justice Analyst']",Online
CJUS-P 596,DATA ANALYSIS IN CRIMINAL JUSTICE II,3,"Focus on the general linear model and multivariate statistical techniques such as logit, probit and structural equation modeling.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Garcia,MWF 10:00AM–11:15AM,6,['CJUS-P 250'],"['Law Enforcement', 'Criminal Justice Analyst']",Online
CJUS-P 599,RESEARCH PRACTICUM,1,"Required course for Ph.D. students. Designed to provide guided experience in conducting research independently. The topic and scope of the student's effort must be approved in advance by the professor.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Williams,TR 2:30PM–3:45PM,0,[],['Public Sector Professional'],Online
CJUS-P 602,COURTS AND CRIMINAL JUSTICE,3,"Addresses the nature and operation of courts with respect to criminal cases: structure and administration of courts; recruitment and selection of major participants; and specific decisions in the processing of criminal cases, including the decision to charge, pretrial release, trials and plea bargains, and criminal appeals.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,MW 1:00PM–2:15PM,1,[],"['Law Enforcement', 'Criminal Justice Analyst']",Hybrid
CJUS-P 610,LAW AND SOCIETY,3,"Study of the interaction between social forces and legal processes, focusing on the question of what shapes the law. Subareas to be examined include the courts, sentencing, police, crime, deviance, and community-based justice. Course emphasizes the links between crime-related behavior as defined by the law, its social and cultural environments, and the individual.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Williams,MWF 10:00AM–11:15AM,9,[],['Public Sector Professional'],Online
CJUS-P 619,CRIME AND PUBLIC POLICY,3,"Examines processes by which societies define crime and develop responses to crime. Particular attention is given to case studies of how particular policies were developed and implemented, and what effects policies produced.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,MW 1:00PM–2:15PM,6,[],"['Criminologist', 'Policy Analyst']",In Person
CJUS-P 623,VIOLENT BEHAVIOR,3,"Critical analysis of current theory and research on violent behavior utilizing a multidisciplinary framework. Topics include concepts and methods in the study of violence; prediction of violence; family and sexual violence; institutional violence; drugs and violence; and prevention of violent behavior.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Williams,MW 1:00PM–2:15PM,9,[],['Public Sector Professional'],Hybrid
CJUS-P 627,WHITE-COLLAR CRIME,3,"Examines the data and research related to white-collar crime in an effort to understand issues of causation and social control of this particular form of crime. Places white-collar crime within the context of general theories of crime, and compares and contrasts the various legal mechanisms (civil administrative and criminal) available to control it.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Garcia,TR 2:30PM–3:45PM,3,[],"['Criminologist', 'Policy Analyst']",Hybrid
CJUS-P 629,VICTIMIZATION,3,"Covers current theory, research and measurement issues pertaining to the nature, extent, causes, and effects of criminal victimization; evaluations of programs for crime victims; and political and ideological differences among varying views of victim rights.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Garcia,TR 2:30PM–3:45PM,4,[],['Public Sector Professional'],Hybrid
CJUS-P 634,SENTENCING THEORY AND PRACTICE,3,"Examines the theoretical and practical issues relating to the sentencing of criminals. In particular, focuses on the aims of punishment and the construction of sentencing models and alternatives designed to achieve these aims.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Thomas,TR 2:30PM–3:45PM,8,[],['Public Sector Professional'],Hybrid
CJUS-P 639,HISTORY OF CRIMINAL JUSTICE IN THE UNITED STATES,3,"Examination of the development of the American criminal justice system, with particular attention to courts, prisons, and the police. Examines how definitions of deviance and criminality have changed over time and the ways class, gender, and race have shaped law and justice.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,TR 2:30PM–3:45PM,6,[],"['Law Enforcement', 'Criminal Justice Analyst']",In Person
CJUS-P 671,COMPARATIVE JUSTICE SYSTEMS,3,"Engages students in comparative issues and research to reveal political, historical, and cultural factors that have influenced criminal justice and law in the United States. Develops student abilities to conceptualize crime and law without using official legal concepts but for purposes of comparative social scientific research.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Davis,TR 2:30PM–3:45PM,2,[],"['Law Enforcement', 'Criminal Justice Analyst']",In Person
CJUS-P 680,SEMINAR: ISSUES IN CRIMINAL JUSTICE,3,"Selected topics in Criminal Justice that will vary from semester to semester.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Nguyen,TR 2:30PM–3:45PM,9,[],"['Law Enforcement', 'Criminal Justice Analyst']",Online
CJUS-P 694,RESEARCH IN CRIMINAL JUSTICE,1,"Please visit the school or campus website for more information about this course.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Davis,MW 1:00PM–2:15PM,1,[],"['Law Enforcement', 'Criminal Justice Analyst']",Hybrid
CJUS-P 794,THESIS,A.M.),"Please visit the school or campus website for more information about this course.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Garcia,MW 1:00PM–2:15PM,10,[],['Public Sector Professional'],Online
CJUS-P 851,READINGS IN CRIMINAL JUSTICE,1,"Individualized readings on topics not covered in regular course offerings.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Garcia,MW 1:00PM–2:15PM,9,[],"['Law Enforcement', 'Criminal Justice Analyst']",In Person
CJUS-P 855,RESEARCH IN CRIMINAL JUSTICE,1,"The student is expected to make substantial progress toward identification of an eventual dissertation project.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Williams,TR 2:30PM–3:45PM,8,[],"['Law Enforcement', 'Criminal Justice Analyst']",Online
CJUS-P 859,PH D THESIS,1,"Please visit the school or campus website for more information about this course.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Prof. Davis,MW 1:00PM–2:15PM,4,[],['Public Sector Professional'],Hybrid
DSCI-D 321,DATA REPRESENTATION,3,"This course covers a wide variety of data representations and data processes that are core parts of the data/information ecosystem. The focus is on essential aspects and mechanisms of data engineering to prepare data for data science and machine learning problems and applications.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Morgan,MW 3:00PM–4:15PM,0,[],"['Data Analyst', 'Visualization Specialist']",Online
DSCI-D 351,BIG DATA ANALYTICS,3,"This course introduces the fundamentals of data science and big data analysis by focusing on: theoretical aspects, such as their philosophical grounds and implications, and methodological aspects, such as large-scale data processing, statistical analysis and machine learning, data retrieval and recommendation, data representation and semantics, along with several case studies.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. O'Connor,MW 3:00PM–4:15PM,9,['DSCI-D 321'],"['Data Engineer', 'ML Engineer']",Online
DSCI-D 390,UNDERGRADUATE INDEPENDENT STUDY,1,"Independent research based on existing literature or original work. A report, in the style of a department technical report, is required.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Morgan,MW 3:00PM–4:15PM,0,[],"['Research Scientist', 'Academic']",Hybrid
DSCI-D 498,DATA SCIENCE CAPSTONE I,3,"This first course of two introduces students to a real-world, group project that includes statement of work, requirements gathering, data science system design and implementation, product delivery, and assessment of work. The first course is devoted to identifying team projects, understanding the customers' needs and preliminary tasks for the project.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Morgan,MWF 11:30AM–12:45PM,3,['DSCI-D 351'],"['Data Scientist', 'AI Product Manager']",In Person
DSCI-D 499,DATA SCIENCE CAPSTONE II,3,"This second course of two completes a team-based, real-world project that solves a data science problem. The students develop a project plan, milestones, design and implement solutions, and give a product including a write-up, code base, and interpretation of results. Students also learn additional elements of data science e.g., ROC.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lopez,TR 1:00PM–2:15PM,9,['DSCI-D 498'],"['Data Scientist', 'AI Product Manager']",Online
DSCI-D 532,APPLIED DATABASE TECHNOLOGIES,3,"This course aims to provide the basic overview of the current database landscape, starting with relational databases, SQL, and moving to several different NoSQL databases, such as XML database, MongoDB, Neo4j, Cassandra, and HBase.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Singh,MW 3:00PM–4:15PM,3,[],['Technology Professional'],In Person
DSCI-D 590,TOPICS IN DATA SCIENCE,1,"Emphasis on new developments and research in Data Science.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Singh,MWF 11:30AM–12:45PM,1,[],['Technology Professional'],In Person
DSCI-D 591,GRADUATE INTERNSHIP,0,"Students gain professional work experience in an industry or research organization setting using skills and knowledge acquired in Data Science coursework. A written report will be required upon completion of the experience.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Morgan,MW 3:00PM–4:15PM,7,[],['Technology Professional'],In Person
DSCI-D 592,DATA SCIENCE IN PRACTICE,3,"Students are organized into teams to carry out real world projects in conjunction with project sponsors, while learning about methodologies for data science consulting.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Lopez,MWF 11:30AM–12:45PM,10,[],['Technology Professional'],In Person
DSCI-D 699,GRADUATE INDEPENDENT STUDY IN DATA SCIENCE,1,"Independent Study under the direction of a faculty member, culminating in a written report and/or database development and/or documented laboratory experience.
Resources
View course on iGPS
Find schedule classes for current and future semesters",Fall 2024,Dr. Zhao,MWF 11:30AM–12:45PM,8,[],"['Research Scientist', 'Academic']",Hybrid
